timestamp,memory.used,memory.free,index,utilization.gpu,utilization.memory,gpu_name,memory.total
"2022/10/21 15:02:36.775""",1493,14707,0,6,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:37.140""",1673,14527,0,6,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:37.493""",1879,14321,0,6,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:37.855""",2091,14109,0,6,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:38.203""",7061,9139,0,9,2,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:38.567""",7061,9139,0,0,0,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:38.924""",419,15781,0,1,0,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:39.277""",419,15781,0,4,0,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:39.624""",419,15781,0,1,0,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:39.977""",419,15781,0,0,0,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:40.330""",419,15781,0,0,0,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:40.695""",419,15781,0,0,0,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:41.046""",419,15781,0,0,2,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:41.397""",419,15781,0,0,3,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:41.745""",419,15781,0,0,3,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:42.099""",419,15781,0,0,3,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:42.449""",419,15781,0,0,3,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:42.800""",419,15781,0,0,5,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:02:43.148""",419,15781,0,0,5,NVIDIA RTX A5000 Laptop GPU,16384
